adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
false,/bZsATFS6wg6L45ele7Ve4ogGkUT.jpg,"[14,18,27]",60898,cn,聊齋艷譚,"Three vixens have meditated for 1,000 years to able to shed their animal natures and become human. For the final month of their rigors, they have moved near a village where women pray to a god of fertility. One sister visits the god's temple and thinks lustful thoughts. As she leaves, a priest confronts her, warning of dire consequences and of demons that will try to stop the vixens' transformation. Soon, the youngest sister saves a poor scholar from bandits and becomes enamored of him. Each sister visits him, and before long, the youth has made love to all three. After they invite him to stay with them, the playfulness takes a scary turn. Where can they turn for help?",56.443749999999994,/fTUCwsxVoLFuodAtlL6aITP1B45.jpg,1990-05-19,Erotic Ghost Story,false,6.2,82
false,/iyHqd29vWF8ZRrQOO5KYEHLTtfG.jpg,"[18,878]",1319700,ja,本心,"Why had a mother who seemed happy desired to end her own life? Desperate to uncover his mother’s true intentions, Sakuya ventures into uncharted technological territory. He turns to VF (Virtual Figure), a technology that aggregates personal data from one’s life to create a “human” in a virtual space.",56.386125,/mCUkFIuEnVlkvDqGgN3gpZkH9Pr.jpg,2024-11-08,The Real You,false,9,2
false,/hU1Q9YVzdYhokr8a9gLywnSUMlN.jpg,"[16,12,28,14,10751]",1147400,fr,"Miraculous World : Paris, Les Aventures de Toxinelle et Griffe Noire","Miraculous holders from another world appear in Paris. They come from a parallel universe where everything is reversed: the holders of Ladybug and Black Cat Miraculouses, Shadybug and Claw Noir, are the bad guys, and the holder of the Butterfly Miraculous, Hesperia, is a superhero. Ladybug and Cat Noir will have to help Hesperia counter the attacks of their evil doubles and prevent them from seizing the Butterfly's Miraculous. Can our heroes also help Hesperia make Shadybug and Claw Noir better people?",56.347125000000005,/nydROKumZe9oFZNiSn792MDDA1v.jpg,2023-10-21,"Miraculous World: Paris, Tales of Shadybug and Claw Noir",false,7.2,588
false,/AorubnsLNfPEx136uxxFQAqrF0g.jpg,"[27,53]",1269108,id,Santet Segoro Pitu,"After finding a strange package, Sucipto and his family suspect a terrible curse is responsible for a string of misfortunes taking over their lives.",56.338499999999996,/cWCdUrdBgX4G4v7SKscGyvw2FeR.jpg,2024-11-07,Curse of the Seven Seas,false,5.9,8
false,/vr6n6ZFUZvedvIlhfYcbCWcaKyW.jpg,"[12,14,28]",58,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.",56.147,/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg,2006-07-06,Pirates of the Caribbean: Dead Man's Chest,false,7.364,16238
false,/p5kpFS0P3lIwzwzHBOULQovNWyj.jpg,"[80,53,27]",1032823,en,Trap,"A father and teen daughter attend a pop concert, where they realize they're at the center of a dark and sinister event.",56.129125,/jwoaKYVqPgYemFpaANL941EF94R.jpg,2024-07-31,Trap,false,6.351,2042
false,/cWczNud8Y8i8ab0Z4bxos4myWYO.jpg,"[16,10751,12]",38757,en,Tangled,"Feisty teenager Rapunzel, who has long and magical hair, wants to go and see sky lanterns on her eighteenth birthday, but she's bound to a tower by her overprotective mother. She strikes a deal with Flynn Rider, a charming wanted thief, and the duo set off on an action-packed escapade.",56.1275,/ym7Kst6a4uodryxqbGOxmewF235.jpg,2010-11-24,Tangled,false,7.606,11674
false,/vHJlbhsXrZ5yrO2KqCbGSIU6fRX.jpg,"[28,9648,878,53]",198663,en,The Maze Runner,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.",56.1145,/ode14q7WtDugFDp78fo9lCsmay9.jpg,2014-09-10,The Maze Runner,false,7.189,17244
false,/n5A7brJCjejceZmHyujwUTVgQNC.jpg,"[14,12]",12445,en,Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",55.941500000000005,/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,2011-07-12,Harry Potter and the Deathly Hallows: Part 2,false,8.1,20894
false,/fVpFOcQyHJM2di9upgSIwWD5wac.jpg,"[27,53,28,12]",396535,ko,부산행,"When a zombie virus pushes Korea into a state of emergency, those trapped on an express train to Busan must fight for their own survival.",55.824875,/vNVFt6dtcqnI7hqa6LFBUibuFiw.jpg,2016-07-20,Train to Busan,false,7.7,7680
false,/w4UHWzB6FG8PeQVO81M0sRL9I8l.jpg,[35],203873,it,I vesuviani,"Five Neapolitan directors depict life in the city under the shadow of Mount Vesuvius for this anthology film of comedy, drama, surrealism, and political commentary.",55.794250000000005,/zu8JSFVUqGDpNImn1hb2NPdqH2m.jpg,1997-06-27,The Vesuvians,false,5,2
false,/8hPu8mZwUxPHJPKVEjY2VLUuzKx.jpg,"[18,10749]",61108,fr,Emmanuelle 6,Journey with Emmanuelle and the world's most excuisite models deep into the Venezuelan Amazon jungle to the heart of paradise. Beauty can be dangerous and the women soon find themselves captive to a powerful drug lord. Now they must escape from a land of darkness,55.72325,/akhaTeqlNEqkyAVdmRWEUDTMUgK.jpg,1988-07-06,Emmanuelle 6,false,4,28
false,/8yPSYhooj8nyBbmV3GVdLDwuE7e.jpg,"[18,10749]",1079091,en,It Ends with Us,"When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended, and she realizes she must learn to rely on her own strength to make an impossible choice for her future.",55.650375,/cSMdFWmajaX4oUMLx7HEDI84GkP.jpg,2024-08-07,It Ends with Us,false,7,1526
false,/b6ZJZHUdMEFECvGiDpJjlfUWela.jpg,"[28,12,878]",284054,en,Black Panther,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",55.5695,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,2018-02-13,Black Panther,false,7.374,22456
false,/77OJJSQOpvClFVwOr4hLWV4be3a.jpg,[35],66075,it,La segretaria privata di mio padre,"Ponziani Armando, the owner of a thriving chemical industry, lives in a beautiful villa on Lake Como with his wife and his son Franco Ersilia.",55.568125,/jLmho8dybgeJ6lpHuF0qKTDEuMm.jpg,1976-12-29,My Father's Private Secretary,false,5.281,16
false,/wYbOd1YdpDonQUHwRCTCY2grSq4.jpg,"[16,14,12]",615453,zh,哪吒之魔童降世,"The Primus extracts a Mixed Yuan Bead into a Spirit Seed and a Demon Pill. The Spirit Seed can be reincarnated as a human to help King Zhou establish a new dynasty, whereas the Demon Pill will create a devil threatening humanity. Ne Zha is the one who is destined to be the hero, but instead he becomes a devil incarnate, because the Spirit Seed and a Demon Pill are switched.",55.500125,/phM9bb6s9c60LA8qwsdk7U1N2cS.jpg,2019-07-26,Ne Zha,false,7.894,480
